Designator,Mid X,Mid Y,Layer,Rotation
FIDLR,47.62,1.91,Top,0.00
FIDUL,6.99,41.91,Top,0.00
MT1,0.00,0.00,Top,0.00
MT2,0.00,0.00,Top,0.00
MT3,0.00,0.00,Top,0.00
LED1,8.26,20.96,Top,90.00
Q1,34.29,20.96,Top,0.00
R1,14.61,30.48,Top,180.00
R2,8.26,26.04,Top,270.00
R3,20.96,26.04,Top,270.00
R4,25.40,26.04,Top,270.00
R5,29.85,26.04,Top,270.00
R6,34.29,26.04,Top,90.00
R7,38.73,26.04,Top,270.00
R8,20.96,20.96,Top,90.00
R9,25.40,20.96,Top,90.00
R10,29.85,20.96,Top,90.00
U1,14.61,34.29,Top,270.00
U2,14.61,25.40,Top,270.00