Comment,Designator,Footprint,JLCPCB Part #
 Blue,"LED1X11, LED1X12, LED1X21, LED1X22",0603-LED,C72041
2N3904,"Q1X11, Q1X12, Q1X21, Q1X22",SOT23,C20526
82R,"R1X11, R1X12, R1X21, R1X22",0603-RES,C23255
470R,"R2X11, R2X12, R2X21, R2X22",0603-RES,C23179
150k,"R3X11, R3X12, R3X21, R3X22",0603-RES,C22807
1k,"R4X11, R4X12, R4X21, R4X22",0603-RES,C21190
27k,"R5X11, R5X12, R5X21, R5X22",0603-RES,C22967
47R,"R6X11, R6X12, R6X21, R6X22",0603-RES,C23182
4k7,"R7X11, R7X12, R7X21, R7X22",0603-RES,C23162
47k,"R8X11, R8X12, R8X21, R8X22",0603-RES,C25819
240k,"R9X11, R9X12, R9X21, R9X22",0603-RES,C4197
39k,"R10X11, R10X12, R10X21, R10X22",0603-RES,C23153
LM317LCDR,"U1X11, U1X12, U1X21, U1X22",SO08,C105219
LM393M,"U2X11, U2X12, U2X21, U2X22",SO08,C7955